UserAddress,ContractType,Amount
0x0000000f65d503603782d94e78e30c6d05955741,ZUG,3.0037
0x00000027eb6a84769842c0759161267b0515559c,ZUG,5.0099
0x0000006d3565eeaf1aff3d70f6c6346817015194,ZUG,15.0080
0x00000096794e42ce28b850b9563091def1b1751d,ZUG,25.0250
0x00000450f9d086c78ddd1cff3ef0bdbc53f9c6ce,ZUG,29.0238
0x0000084397b6d03d925d3deeddea90edb4f073b4,ZUG,7.0023
0x00000a73e0e223e2c53b438d7525b3724a44ac20,ZUG,4.0000
0x00000c2be4edf75d0f292153cc27230891dc67a5,ZUG,33.0476
0x00001cc3a3946e216848e6dc2ef0be81c801cacf,ZUG,10.0037
0x000058f218fa2ea0cdd3a2f4022f02cee1ad5a81,ZUG,6.0010
0x000075ae72ba5c9d683acbb56d65037b682d4dd3,ZUG,5.0000
0x00024eacb7936b04ba5e07eddfd7fe701e7c66e0,ZUG,61188.4729
0x00024eacb7936b04ba5e07eddfd7fe701e7c66e0,vZUG,61148.3333
0x0004ef82f3f2ac1e73416054b30026a918cb4275,ZUG,1.0007
0x0010c91810e34005c838552ebf968f279716d3bf,ZUG,1.0000
0x00182e169dfeaf7d6fe5278e6c834a14a3906fed,ZUG,26.0157
0x001ef3e55e98c4e21cbbf9d7b41b30970f3abb55,ZUG,2.0017
0x0020640ec8537073c1b698e9642f74232ce55d69,ZUG,10.0035
0x002549a5b9144bac1298e412afacd7e6dd1a50a1,ZUG,4.0025
0x002ad983749c2fcde6426ee6590eff927a87c60d,ZUG,2.0016
0x002d4118005a751b4708cd93f7ab0e8fa134754e,ZUG,6.0381
0x002e9bbe1067cc86de321c39bec1b0eefb98b49f,ZUG,9.0052
0x0032d0a7ca1d81a31449c3588a2a2e8ddd517985,ZUG,1.0000
0x003da75a6485094b8e889451d84e2e3f8995329a,ZUG,36.5250
0x0049825a9108a20b16cdbb187af1b0c3bc2cc44c,ZUG,12.0037
0x004b6c175e9fa00706cdf26bb516e933cc22e67b,ZUG,5.0063
0x005cf90479e2db037f2dd3aad0605ef736289a88,ZUG,10.0100
0x00738043adeae4e5bd448c9070b5ba793dea9d49,ZUG,2.0018
0x0084097e1ddee3aea0c6fbc8d381577ab6a5f0b0,ZUG,2.0014
0x0097d5c1e6a1630c7f04e65b630fc0ae0b77a07e,ZUG,4.0082
0x00a550e4f30d7ab18cd7f8cbd83c12e218493d55,ZUG,10.0179
0x00a6b4b2c2dfcb8ba538e8b8840f00b19eee56ea,ZUG,28.0097
0x00d033409ee6001662d4556afbfc3f4fc56d4ba3,ZUG,2.0018
0x00d5908b9fc565e97e0eb7acfd32b5fac0980ef4,ZUG,16.0158
0x00d639b8f9d079bbd02b528bba95f5004ac6c409,ZUG,30.0361
0x00dc7ede025d2398b4bb4cab90256d02a4a257ee,ZUG,9.0077
0x00eb47ae7c73750640efb6c8e5a6a8f65337a67b,ZUG,1.0010
0x00ed5477dc06581fc545ac02e30982d2899476f9,ZUG,10.0042
0x00edbe047a6d302a474f574da38d47a3ddfcafad,ZUG,5.0030
0x00ffd95d55aefaf7a1ba594afb233d048593089a,ZUG,8.0105
0x010176542f27d816e7ef5983a1540d1ae6aa0195,ZUG,5.0000
0x010cb28daad80859efac8241a5e90e46e73f0c29,ZUG,10.0064
0x010fdaa23b98432806dab57766bcb67d205557c7,ZUG,10.0036
0x01181c731331871733e2693839e40155cbef0cc4,ZUG,4.0050
0x012e868121db86b3dac062f58cdc797c8879ce7e,ZUG,5.0060
0x0133973172017a86113eb1787a438519db5710be,ZUG,1.0000
0x0143152904e971209b36b65df3c676a06c325c05,ZUG,4.0025
0x014c6413322080b66edd9d84cc5e8c551f1241a0,ZUG,5.0000
